"","Freq","Cumul","relative","phastCons","Type","GeneSet"
"0",416,416,0.021932830705963,"0","exons","Universal"
"0.00100000004749745",662,1078,0.056835556492856,"0.00100000004749745","exons","Universal"
"0.0020000000949949",447,1525,0.0804028048716191,"0.0020000000949949","exons","Universal"
"0.00300000002607703",398,1923,0.101386618864343,"0.00300000002607703","exons","Universal"
"0.00400000018998981",298,2221,0.117098117783519,"0.00400000018998981","exons","Universal"
"0.00499999988824129",256,2477,0.130595244371804,"0.00499999988824129","exons","Universal"
"0.00600000005215406",221,2698,0.142247060684347,"0.00600000005215406","exons","Universal"
"0.00700000021606684",156,2854,0.150471872199083,"0.00700000021606684","exons","Universal"
"0.00800000037997961",166,3020,0.159223915221174,"0.00800000037997961","exons","Universal"
"0.00899999961256981",151,3171,0.167185110982232,"0.00899999961256981","exons","Universal"
"0.00999999977648258",157,3328,0.175462645647704,"0.00999999977648258","exons","Universal"
"0.0109999999403954",116,3444,0.18157853113302,"0.0109999999403954","exons","Universal"
"0.0120000001043081",94,3538,0.186534507302156,"0.0120000001043081","exons","Universal"
"0.0130000002682209",101,3639,0.191859545526441,"0.0130000002682209","exons","Universal"
"0.0140000004321337",83,3722,0.196235567037486,"0.0140000004321337","exons","Universal"
"0.0149999996647239",76,3798,0.200242526493383,"0.0149999996647239","exons","Universal"
"0.0160000007599592",64,3862,0.203616808140454,"0.0160000007599592","exons","Universal"
"0.017000000923872",82,3944,0.207940106500764,"0.017000000923872","exons","Universal"
"0.0179999992251396",80,4024,0.212157958559604,"0.0179999992251396","exons","Universal"
"0.0189999993890524",56,4080,0.215110455000791,"0.0189999993890524","exons","Universal"
"0.0199999995529652",71,4151,0.21885379870301,"0.0199999995529652","exons","Universal"
"0.0209999997168779",63,4214,0.222175357199346,"0.0209999997168779","exons","Universal"
"0.0219999998807907",61,4275,0.225391469394211,"0.0219999998807907","exons","Universal"
"0.0230000000447035",71,4346,0.229134813096431,"0.0230000000447035","exons","Universal"
"0.0240000002086163",59,4405,0.232245478989824,"0.0240000002086163","exons","Universal"
"0.025000000372529",44,4449,0.234565297622186,"0.025000000372529","exons","Universal"
"0.0260000005364418",52,4501,0.237306901460431,"0.0260000005364418","exons","Universal"
"0.0270000007003546",57,4558,0.240312121052354,"0.0270000007003546","exons","Universal"
"0.0280000008642673",51,4609,0.243001001739864,"0.0280000008642673","exons","Universal"
"0.028999999165535",40,4649,0.245109927769284,"0.028999999165535","exons","Universal"
"0.0299999993294477",35,4684,0.246955238045026,"0.0299999993294477","exons","Universal"
"0.0309999994933605",51,4735,0.249644118732535,"0.0309999994933605","exons","Universal"
"0.0320000015199184",34,4769,0.251436705857542,"0.0320000015199184","exons","Universal"
"0.0329999998211861",49,4818,0.254020140243581,"0.0329999998211861","exons","Universal"
"0.034000001847744",38,4856,0.25602361997153,"0.034000001847744","exons","Universal"
"0.0350000001490116",45,4901,0.258396161754626,"0.0350000001490116","exons","Universal"
"0.0359999984502792",48,4949,0.26092687298993,"0.0359999984502792","exons","Universal"
"0.0370000004768372",46,4995,0.263352137923762,"0.0370000004768372","exons","Universal"
"0.0379999987781048",38,5033,0.265355617651711,"0.0379999987781048","exons","Universal"
"0.0390000008046627",37,5070,0.267306374228924,"0.0390000008046627","exons","Universal"
"0.0399999991059303",36,5106,0.269204407655401,"0.0399999991059303","exons","Universal"
"0.0410000011324883",23,5129,0.270417040122318,"0.0410000011324883","exons","Universal"
"0.0419999994337559",24,5153,0.271682395739969,"0.0419999994337559","exons","Universal"
"0.0430000014603138",27,5180,0.273105920809828,"0.0430000014603138","exons","Universal"
"0.0439999997615814",32,5212,0.274793061633363,"0.0439999997615814","exons","Universal"
"0.0450000017881393",32,5244,0.276480202456899,"0.0450000017881393","exons","Universal"
"0.046000000089407",18,5262,0.277429219170138,"0.046000000089407","exons","Universal"
"0.0469999983906746",29,5291,0.278958190541467,"0.0469999983906746","exons","Universal"
"0.0480000004172325",30,5321,0.280539885063531,"0.0480000004172325","exons","Universal"
"0.0489999987185001",26,5347,0.281910686982654,"0.0489999987185001","exons","Universal"
"0.0500000007450581",30,5377,0.283492381504719,"0.0500000007450581","exons","Universal"
"0.0509999990463257",20,5397,0.284546844519428,"0.0509999990463257","exons","Universal"
"0.0520000010728836",25,5422,0.285864923287816,"0.0520000010728836","exons","Universal"
